mq_ra,mq_dec,mq_name,mq_z,mq_cite
15.9047633,0.651,2SLAQ J010337.14+003903.6,1.492,2SLAQ
15.9061394,0.43560770000000004,SDSS J010337.47+002608.1,2.793,DR14Q
15.906704399999999,0.47826359999999996,SDSS J010337.60+002841.7,2.2969999999999997,DR14Q
15.9100696,0.7553193,SDSS J010338.41+004519.1,1.081,DR14Q
15.912102599999999,0.3968345,SDSS J010338.90+002348.6,1.018,DR14Q
15.913225,0.0186505,SDSS J010339.17+000107.1,1.6030000000000002,DR14
15.917884699999998,0.9778752,SDSS J010340.29+005840.3,1.9869999999999999,DR14Q
15.9179239,0.561737,SDSS J010340.30+003342.2,1.002,DR14Q
15.9232399,0.5725339,SDSS J010341.57+003421.1,2.864,DR14Q
15.9253236,0.0608038,2SLAQ J010342.07+000338.9,1.196,2SLAQ
15.9257742,0.8309523999999999,SDSS J010342.18+004951.4,3.443,DR14Q
15.927685,0.8878881999999999,SDSS J010342.64+005316.3,0.46799999999999997,DR14
15.9280807,0.4270067,LBQS 0101+0009,0.39399999999999996,DR7Q
15.929445999999999,0.403893,SDSS J010343.06+002414.0,0.7909999999999999,DR14Q
15.930517800000002,-0.6540056,2SLAQ J010343.31-003914.5,2.1390000000000002,2SLAQ
15.931595300000001,-0.7818765999999999,SDSS J010343.58-004654.7,2.602,DR14Q
15.934656,1.0754347,SDSS J010344.31+010431.5,1.565,DR14Q
15.9382149,-0.11993759999999999,SDSS J010345.17-000711.7,2.315,DR14Q
15.939322599999999,0.9688421,SDSS J010345.43+005807.8,1.043,DR14Q
15.939481299999999,1.1543265,SDSS J010345.47+010915.5,0.961,DR14Q
15.943430900000001,-0.56638,SDSS J010346.42-003358.9,1.755,DR14Q
15.946133999999999,0.196415,2SLAQ J010347.07+001147.0,0.191,2SLAQ
15.9483601,-0.0637909,SDSS J010347.60-000349.6,1.012,DR14Q
15.9510185,-0.3003504,SDSS J010348.24-001801.2,3.182,DR14Q
15.951089999999999,-0.9295576999999999,SDSS J010348.26-005546.4,3.697,DR14Q
15.9511445,-1.2496544,SDSS J010348.27-011458.7,2.572,DR14Q
15.952464,0.6596706,SDSS J010348.59+003934.8,0.314,DR14
15.953293400000002,0.0240847,SDSS J010348.79+000126.7,2.265,DR14Q
15.9541455,0.292692,SDSS J010348.99+001733.6,1.932,DR14Q
15.9543968,-0.2759875,SDSS J010349.05-001633.5,1.185,DR14Q
15.9549843,0.307632,2SLAQ J010349.20+001827.5,1.66,2SLAQ
15.9556601,-0.6349832,SDSS J010349.35-003805.9,2.36,DR14Q
15.9598131,0.48590609999999995,SDSS J010350.35+002909.2,2.002,DR14Q
15.960719099999999,-0.4570073,SDSS J010350.57-002725.2,1.3530000000000002,DR14Q
15.96136,-0.021494,SDSS J010350.72-000117.3,1.952,DR14Q
15.962164900000001,-0.2862666,SDSS J010350.91-001710.5,1.005,DR14Q
15.9633262,1.0875251,SDSS J010351.19+010515.0,2.1830000000000003,DR14Q
15.9638805,-0.0372499,2SLAQ J010351.33-000214.0,1.954,2SLAQ
15.965019400000001,-0.5522188,SDSS J010351.60-003307.9,1.632,DR14Q
15.9651907,0.9587787,SDSS J010351.64+005731.6,0.8959999999999999,DR14Q
15.965686800000002,-1.1825891000000002,SDSS J010351.76-011057.3,1.34,DR14Q
15.966038099999999,-1.1397358999999998,SDSS J010351.84-010823.0,1.338,DR14Q
15.968635399999998,0.627721,FBQS J0103+0037,0.7040000000000001,DR7Q
15.9689582,0.5052411,SDSS J010352.54+003018.8,1.038,DR14Q
15.969084200000001,0.4495844,2SLAQ J010352.57+002658.5,1.209,2SLAQ
15.969897699999999,-0.810843,SDSS J010352.77-004839.0,2.61,DR14Q
15.970112,-1.083753,2SLAQ J010352.82-010501.5,0.47100000000000003,2SLAQ
15.976965599999998,0.2594821,SDSS J010354.47+001534.1,2.738,DR14Q
15.980512699999998,0.5747545999999999,SDSS J010355.32+003429.1,1.9,DR14Q
15.9814711,0.5356449999999999,SDSS J010355.55+003208.3,1.127,DR14Q
15.9821714,-1.0591545,SDSS J010355.72-010332.9,2.057,DR14Q
15.9845011,-0.7203122,SDSS J010356.28-004313.1,2.3930000000000002,DR14Q
15.988490099999998,-1.1881639,SDSS J010357.23-011117.3,1.3519999999999999,DR14Q
15.988941199999998,-0.07882860000000001,SDSS J010357.34-000443.7,2.574,DR14Q
15.9902013,0.4250808,SDSS J010357.64+002530.2,2.135,DR14Q
15.9948664,0.928154,SDSS J010358.76+005541.3,0.632,DR14Q
15.9967307,-0.9284719000000001,SDSS J010359.21-005542.4,2.5610000000000004,DR14Q
15.9985508,-0.6511026,SDSS J010359.65-003903.9,1.786,DR14Q
16.000818300000002,-0.5933470000000001,SDSS J010400.19-003536.0,0.879,DR14Q
16.0028537,0.2317123,SDSS J010400.68+001354.1,2.6180000000000003,DR14Q
16.0036602,-1.1125005,SDSS J010400.87-010645.0,1.745,DR14Q
16.0043355,1.256512,SDSS J010401.04+011523.4,1.67,DR14Q
16.0051202,-0.9325678,SDSS J010401.22-005557.2,1.081,DR14Q
16.01647,0.6404544,SDSS J010403.95+003825.6,0.14400000000000002,DR14
16.019389999999998,0.0131167,SDSS J010404.65+000047.2,0.192,DR14
16.020020300000002,-0.202376,SDSS J010404.80-001208.5,0.978,DR14Q
16.0214972,-0.2621432,2SLAQ J010405.15-001543.7,1.475,2SLAQ
16.021576,-1.229583,SDSS J010405.17-011346.4,0.265,DR14
16.023854699999998,0.24040749999999997,SDSS J010405.72+001425.4,1.5319999999999998,DR14Q
16.0291688,-1.0293966,SDSS J010407.00-010145.8,1.548,DR14Q
16.029197699999997,1.2369299999999999,SDSS J010407.00+011412.9,0.312,DR14Q
16.032028699999998,-1.0904539,SDSS J010407.68-010525.6,2.177,DR14Q
16.037612900000003,-0.5894703,2SLAQ J010409.03-003521.9,1.222,2SLAQ
